ID;Description
04b64385ccad4949;A female mandrill is climbing out the top of the tree
0534ec3a9103aa94;A black goat is returning the shelter
0cfe7e0fa8aac26a;A night wolf is fast-moving to catch the prey near the waterfall
0e5e5d21659dbe17;A female cheetah is moving around to find water
0ee64c3df3d2838a;A white swan is staying in breeding areas
13b02a5332f0ecd5;A huge bird is foraging food
152c94475c913844;A red ruffed lemur  is standing under the tree
1535d9fb7fa796c1;A big bear is searching for food in the cave
182d7cbac174658f;A grey sparrow is foraging on the ground
1c8345c93d4915a2;A red kangaroo is resting in the shade
1d1f0cae9de4a20d;A reindeer is fast-moving to the water source
203af1b041b12e1d;A komodo dragon is preparing to attack the prey
21315bd25b7adc01;A ring tailed lemur is lying down on the branch
22b31b3cf19cdb7f;A juvenile black wildebeest is running to the lake
24eb507b06b6d4ad;A male Baird tapir is seeking out water
25d3c279224e9090;A male pronghorn antelope is running at speeds in the field
26808910ed0da6e0;A tiny parrot hiding in the nest on the tree
26b7158e1f03b0bb;A red deer stag is seeking shelter in dense vegetation
29e33756715c2125;A male nyala is drinking on the lake
2f61c298e0395353;A female Bornean orangutan is moving from tree to tree
3348435fbd0a3121;A juvenile cassowary is finding food
3351535576ef36bd;A spotted hyena is resting in mud at stream
371db10eb058594d;A female west african lion is roaming the savannas
373349a624d7b13b;A white pigeon is flying to the top of the mountain
37d4e39a301a065a;A great hippopotamus is slow-moving along the river
3ec871952ad0a4c2;A small llama is running from the predator
3ed2a6c22dd07b17;A juvenile sable antelope is walking around the field
3f4aeddbf84a3ba1;A Formosan black bear is seeking shelter in dens
3ff0bb0501493ece;A male bongo is moving around the forest
44ffbb92b637fc04;A huge boar is roaming over large areas in search of water
4a7c0f67af7334dd;A brown crow is foraging for food in fields
4ff38fe3abffee6e;A great koala is hugging its child on the tree
505ea7c5b84466e2;A male African elephant is drinking and bathing in the river
5074451bdaa1734c;A sheep is moving around the field to find water
5110adc459f44b27;A white bird is gliding over the river
51c33db36e283711;A female African elephant is standing in the shade to take a rest
525512e84f2bbc4e;A female babirusa is walking around the forest to find prey
55026919b0714fac;A meidum bird is bathing on the lake
599966e85d6857ce;A female cassowary is standing near the river to watch the waterfall
5c7bbf629c64b765;A male Bornean orangutan is looking for food near the stream
601ddb15db807b23;A dog is sitting and holding a bone in its mouth
62774c483a2811a6;A female peacock is dancing
6368a54752f0fe25;A brown pig is slow-moving away the mud
6f4c961a395ab006;A crocodile is swimming and diving to catch prey
70529c539a3eaf30;A whitetail deer doe is resting in the shade
7272bdeba718da96;A lion is moving long distances to reach the water
728ac3507f29b8b1;A male thomsons gazelle is resting in the lake edge
7484d26bce2b2555;A giant anteater is resting in a sheltered area
754687fa7f45b78e;An angry cat is in defense and holding its tail straight up
76d991719a89b736;A reticulated giraffe is lying down under the tree
7c270298f93927fc;A Malayan tapir is foraging for leaves around the tree
7cd8d4d74a769775;A hippopotamus is travelling through water
7e152b8777567599;A Bengal tiger is standing to watch the prey
83fde8123fc5140c;A white duck is resting on the water
84f9875c5aa43a62;A lesser antillean iguana is resting on the rock
865728e99be03f56;A giant otter is standing and resting in a burrow
8805b2457c0148bb;A huge elephant is using their trunks to spray water
8b54089fee8d99a0;A tiny bird is returning to the nest
8eba7fddfa15f905;A small sparrow is sleeping in bushes
9131efff3efffe99;A tiny sparrow is foraging for food on the ground
958da55b0d75abfc;A bear is roaring and lunging forward
97f6b7fba918bfe9;A black woft is far-moving on the sand
999ef191bff8625d;A proboscis monkey is leaping from tree limbs
99c524559e0d5c24;A grey rhinoceros is feeding on grasses
9ce9e933ef4f7ef6;An Aldabra giant tortoise is resting and sunbathing
9fc9c2b5e115afd6;A cuviers dwarf caiman is resting
a0664df1315a8aba;A tiny bird is perching on the post
a8fba562ff002668;A bonobo is standing and playing on the sand
a93b64973cfc8897;A huge bird is roosting in a bush
ab09c3403494c9c2;A female thomsons gazelle is browsing on grasses
ac0abb4cfebf48b4;A tiny zebra is resting in the shelter
ac1c7552169646f7;A sun bear is lumbering through the forests by night
b1d44ce73b4b431b;A goat is running around the farm to find grass
b34ab1000d8e4510;A tiny chicken is scratching at the ground
b4d087fa4293f3b3;A big wolf is standing and resting
bd7c3921a5829c5f;A female okapi is resting in the silk-lined burrows
c074190530330c13;A female babirusa is foraging for food near water sources
c50d24d1270b99ae;A polar bear is searching for food on the ice rock
c8b07c3741bb4fc8;A male Bactrian camel is foraging for vegetation
c9506381e82cae8b;A golden eagle is soaring over the river
ccd67c2c79a29788;A young Dall sheep is resting and ruminating under the tree
d0c9a887b794513a;A big lioness is resting under the tree
d22a84b6f9f25ebe;A Himalayan brown bear is standing and resting in the shelter
d3cba79fd0c49cc9;A seagull is soaring over the ocean
d4fd27c3ca61efc6;A grey seal is diving into the pool
dbd7cff8e346e379;A puff adder is moving away from the pool
dc38f0769707dc64;A tiny young dingo is basking in the sun near the lake
dead07614bca071e;A white sheep is sunbathing in the field
e0f16aa698d86ac4;A white rabit is hidden on the snow
e1411b6bc0b762a4;A juvenile Nile monitor is crawling on the sand near the river
e27877b96a4abea2;A big gemsbok is standing beside the waterfall
e670143d0274784c;A great horned owl is flying over the forest
e71d009cbbd99d85;A young Bornean orangutan is standing and playing in the forest canopy
e83095158333fa20;A young gemsbok is resting under the tree
e8fabf6f755bd6b9;A juvenile dhole, which is Asiatic wild dog, is moving and playing in the forest
efc25a321f0359fe;A fox is standing to watch the prey under the tree
f6b3b5289e2ccd94;A great parrot is traveling between different branches.
f7df83f761acf4de;A big sheep is walking to the shelter
faf6aaefb1d8cf61;A great cow is resting and lie down under the tree
fc9dc8118f99c0de;An Indian male elephant is sucking up water
